Site	Latitude	Longitude	Location	Country	Province	Material	Bibliography
Gremdi	34.757222	11.313889	On Gremdi island off eastern Tunisia	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 128-129
Gressan	45.721766	7.288552	Near Aosta	Italy	Alpes Graiae et Poeninae / Italia XI	Puddingstone, used locally in theRoman period	Betori, Gomez Serito and Pensabene2009
Grotta Oscura	42.035000	12.504167	Tiber valley, north-east of Rome	Italy	Italia I	Tuff (tufo giallo della via Tiberina); used locally from the Archaic period, primarily at Rome	Heiken, Funiciello and De Rita 2005
Guelma	36.466667	7.430833	Ancient Calama	Algeria	Numidia	Marble; used locally in the RomanImperial period	Toubal 1995: 57-61
Gülümbe	40.203617	29.264689	In the Sagarius Valley, Bithynia	Turkey	Bithynia etPontus	Marble; used locally in the RomanImperial period	Dodge 1988: 71
Gummern	46.662391	13.798874	North-west of Villach	Austria	Noricum	White marble, used locally and exported regionally in the Roman period	Djurić and Müller 2009
Hadjret-en-Nous	36.572623	2.052912	14 km west of Cherchel	Algeria	MauretaniaCaesariensis	Grey granite (granito bigio grafico) with black and white inclusions; used locally and exported in Roman Imperial period	Mielsch 1985: 69; Gnoli 1988: 153-4
Hadrianopolis	32.353333	20.307778	Modern Daryanaha, east of Benghazi	Libya	Creta etCyrene	Limestone; used locally in the RomanImperial period	Dworakowska 1983: 13
HaghiosPanteleimonas	38.856988	24.489110	Western Skyros	Greece	Achaia	Purple, yellow and white breccia (marmor scyrium, settebassi or breccia di sciro), exported inter-regionally in the Roman period	Bruno 2002c
Hainburg	48.140694	16.904078	Just east of Carnuntum, Austria	Austria	PannoniaSuperior	Limestone, used locally in the Roman period	Pivko 2012
Haluntium	38.084713	14.696890	North-east Sicily	Italy	Sicilia	Deep red-brown limestone with white veins; used locally in the Roman Imperial period and possibly earlier	Wilson 1990: 239-240
Ham Hill	51.129509	-2.737034	Near Street, south ofGlastonbury, Somerset	Britain	Britannia	Limestone; used locally in the RomanImperial period	Pearson 2006; Stanier 2000: 13; Durman 2006: 49
Hançam	37.733574	28.628500	Near Karacasu, west ofAphrodisias	Turkey	Asia	White and grey marble, used locally in the Roman period	Long 2012
Hanoğlu	38.591556	29.743896	South-east of Uşak, near ancient Akmonia, in Phrygia	Turkey	Asia	Marble; used locally in the RomanImperial period	Asgari 1981
Hara	37.000775	9.373032	In the Northern Tell	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Peyras 1991: 404
Harmanköy	40.131522	30.419285	South of Gölpazari	Turkey	Bithynia etPontus	Yellow breccia (breccia nuvolata), exported regionally and inter- regionally in the Roman period	Lazzarini 2002b
Hasançavuslar	38.072140	27.539680	19 km north-east ofEphesos	Turkey	Asia	White marble with black speckles (Greco scritto), white marble, and grey bigio antico, exported inter-regionally in the Roman period	Yavuz, Bruno and Attanasio 2011
Haslach	48.545461	7.335660	Just west of Strasbourg, between Nieder- and Oberhaslach	France	GermaniaSuperior	Sandstone; used locally in the RomanImperial period	Bedon 1984: 44, 73
Hatnub	27.550833	31.017500	15 km south-east of Tell el-Amarna	Egypt	Aegyptus	Pale yellow calcitic alabaster with areas of opaque white, pink or grey; exported regionally from the Pharaonic period and in the Roman Imperial period - probably that described by Pliny the Elder (XXXVI.60).	Mielsch 1985: 37: Gnoli 1988: 215-218; Hester and Heinzer 1981; Klemm and Klemm 2008: 161-163
Häusling	48.245966	15.438453	East of Melk	Austria	Noricum	White marble; used locally in theRoman Imperial period	Djurić and Müller 2009
Hauteville	46.005847	5.530281	North of Peyrieu	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 33
Helioupolis	37.931944	23.757778	South-east of Athens, near Hymettos, in Attica	Greece	Achaia	Limestone; used locally from at least the Classical period	Barrington Atlas 59 (B/C3)
HenchirChaabane	33.332125	11.166907	South-east of Jerba	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 97
Henchir el Kasbat	36.398611	9.906389	Ancient Thuburbo Maius	Tunisia	AfricaProconsularis	A dark golden yellow limestone (castracane dorato) with spirals of yellow and cream-white, some grey, exported regionally in the Roman Imperial period; and a grey lumachella limestone (lumachella orientale or lumachella d’egito) widely exported after the Augustan period, primarily to Rome	Mielsch 1985: 41; Gnoli 1988: 201-205; Lazzarini and Sangati 2004
Henchir elMzaouak	35.391645	11.032127	Near Salakta	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 144-145
Henchir-Chelga	36.892231	9.409671	In the Northern Tell	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Peyras 1991: 440
Hereke	40.789170	29.614982	Along the coast west of Nicomedia, close to Gebze, Bithynia	Turkey	Bithynia etPontus	Marble breccia (breccia di Hereke); used locally in the Roman Imperial period and probably earlier	Dodge 1988: 71
Hierakonpolis	25.067778	32.734167	16 km north-west ofEdfu	Egypt	Aegyptus	Sandstone; used locally from thePharaonic to Roman period	Klemm and Klemm 2008: 172-173
Hierapolis	37.943889	29.123889	In the necropolis ofHierapolis, Phrygia	Turkey	Asia	Grey-white travertine; used locally from the Hellenistic period	Ronchetta 1987: 105; Vanhaverbeke and Waelkens 2002; Scardozzi 2010; Scardozzi 2012
Hiesberg	48.170636	15.297943	South of Pöchlarn	Austria	Noricum	White marble; used locally in theRoman Imperial period	Djurić and Müller 2009
Hohen Buche	50.456585	7.330149	South of the Brohl but north of Confluentes	Germany	GermaniaSuperior	Basalt; used locally and exported regionally in the Roman Imperial period	Mangartz 1998
Horvat Shallalah	32.730180	35.047121	On the Carmel	Israel	Judaea	Limestone; used locally in the RomanImperial period and probably earlier	Sumaka'I Fink 2000
Horvat Shi'a	32.749761	34.976190	On the western slopes of the Carmel	Israel	Judaea	Limestone; used locally in the RomanImperial period and probably earlier	Sumaka'I Fink 2001
Hotnica	43.142003	25.509208	Near Nicopolis-ad- Istrum, central Bulgaria	Bulgaria	MoesiaInferior	Limestone; used locally in the RomanImperial period	Dworakowska 1983: 57
Hudinja	46.380839	15.295809	Near Vitanje, Pohorje	Slovenia	PannoniaSuperior	White marble; used locally in theRoman Imperial period	Djurić 1997
Hültehouse	48.718990	7.260689	Just north ofReinhardmünster	France	GermaniaSuperior	Sandstone; used locally in the RomanImperial period	Dworakowska 1983: 17
Ideli Tepe	37.945895	27.320014	Next to the habour ofEphesos	Turkey	Asia	Grey-white marble, probably used locally in the Roman period	Vetters 1990
Iscehisar	38.837222	30.783889	Ancient Dokimeion, north-east of Afyon	Turkey	Asia	Two varieties of marble, one fine white and one white with shades of pink and grey-blue, veins of purple and pink (pavonazzetto, marmor synnadicum or phrygium); both exported inter- regionally in the Roman Imperial period, the latter much further	Mielsch 1985: 59; Gnoli 1988: 160-71; Waelkens 1982b; Fant 1985; Fant1989a; Fant 1990; Lazzarini et al.1985; J. Röder 1971
Isle of Wight	50.695000	-1.315833	Off the central south coast	Britain	Britannia	Limestone; used locally in the Roman Imperial period and exported regionally	Blagg 1990
Isola del Giglio	42.357500	10.923889	East coast of Giglio island	Italy	Italia VII	Medium-grained grey granite (granito grigio minuto del Giglio) with shades of pink; used locally and exported regionally in the Roman Imperial period, primarily to Rome	Mielsch 1985: 69; Gnoli 1988: 154; Bruno 1998a
Isole Marmorata	41.253333	9.237500	Just off northern Sardinia	Italy	Sardinia etCorsica	Grey granite (granito della Sardegna), less pink than the granite of Capo Testa; used locally and exported regionally in the Roman Imperial period, primarily to Rome	Mielsch 1985: 69; Wilson 1988; Gnoli1988: 154
Istiklalbaği	39.388611	31.609444	Near ancient Pessinus and Eudoxias, Phrygia	Turkey	Galatia etCappadocia	White marble; used locally in theRoman Imperial period	Waelkens 1982b, 39-40; Waelkens, dePaepe and Moens 1986
Iž	44.031075	15.123606	In the Zadar islands	Croatia	Dalmatia	Limestone; used locally in the RomanImperial period	Škegro 2006: 161-162
Iznik	40.446182	29.747642	2-4 km north-east ofIznik	Turkey	Bithynia etPontus	Grey marble (bigio antico), usedlocally and perhaps exported regionally	Yavuz, Bruno, and Attanasio 2012
Jano diMontaione	43.514089	10.877528	45 km south-east of Pisa	Italy	Italia VII	Alabaster, exported regionally in theRoman period	Lazzarini et al. 2012
Jaumont	49.197487	6.057259	North of Pont à Mousson	France	Belgica	Limestone; used locally in the RomanImperial period	Bedon 1984: 49-50, 89
Kainach	47.233944	15.244021	North of Köflach	Austria	Noricum	Grey marble, used locally and exported regionally in the Roman period	Djurić and Müller 2009
Kairouan	35.675833	10.092500	Eastern Tunisia, inland from Sousse	Tunisia	AfricaProconsularis	Creamy-pink lumachella limestone (lumachella rosea) with occasional flecks of red; used locally and probably exported regionally in the Roman Imperial period	Mielsch 1985: 41; Gnoli 1988: 205-206
Kaisersteinbruch	47.987623	16.70145	32 km south-east ofVienna, Austria	Austria	PannoniaSuperior	Limestone, used locally in the Roman period	Pivko 2012
Kaiserstuhl	48.099992	7.666654	South of Strasbourg on the eastern side of the Rhine	Germany	GermaniaSuperior	Basalt; used locally in the RomanImperial period	Bedon 1984: pl. 12
Kalınağıl	37.251408	27.869004	11 km south-east ofMilas	Turkey	Asia	Red marble, used locally and perhaps exported in the Roman period	Bruno et al. 2012
Kalyvia Sochas	37.047782	22.410328	Just south-east of Sparta in Lakonia	Greece	Achaia	Grey-white marble; used locally in theRoman period and probably earlier	Higgins and Higgins 1996
KamvouniaMountains	40.064592	21.832380	West of Mount Olympos	Greece	Macedonia	Grey-white marble; used locally in theRoman period and probably earlier	Vakoulis et al. 2002
Kara Göl	38.178056	26.787500	Beneath the lake of KaraGöl, near Teos	Turkey	Asia	Two varieties of marble, one grey, the other a grey-brown breccia with pink, white, red, yellow and black shades (africano or marmor lucullum); both exported inter-regionally in the Roman Imperial period, the latter most widely	Mielsch 1985: 54; Gnoli 1988: 174-178; Ballance 1966: 79-81; Fant 1987; Fant 1989b; Baran and Petzl 1977-1978; Pensabene and Lazzarini 1998
Karga Tepe	38.439694	26.546808	On the Karaburum peninsula	Turkey	Asia	Orange-red and white marble (breccia corallina), used locally and probably exported regionally	Bruno et al. 2012
Karies	38.390350	26.097967	Just inland from Latomi, Chios	Greece	Asia	Grey and brown limestone conglomerate (Breccia di Aleppo), exported widely in Roman Imperial period	Lazzarini 2007: 137-149
Kasr Sidi el Hadj	35.353858	5.581373	North of ancient Burgus Speculatorius Antoninianus (Kasr Sidi el Hadj) and south-west of Lambaesis	Algeria	Numidia / Mauretania Caesariensis	Limestone; used locally in the RomanImperial period	Baradez 1949
Kassamboli	39.693889	22.530556	8 km north-east ofLarissa in Thessaly	Greece	Achaia	Compact, fine-grained green marble with darker patches, white and dark green crystalline inclusions (verde antico); exported inter-regionally bythe 2nd century AD and widely in LateAntiquity	Gnoli 1988: 162-165; Mielsch 1985:63-64; Lambraki 1978; Lambraki1982; Papageorgakis 1963; Jung 1961
Kavacık	38.602143	29.818219	South-east of Uşak, near ancient Akmonia, in Phrygia	Turkey	Asia	Grey-white marble; used locally in the Roman Imperial period and possibly earlier	Pralong 1980; Asgari 1981; Waelkens, de Paepe and Moens 1986
Kechries	37.888654	22.990979	South-west of Isthmia	Greece	Achaia	Oolitic limestone, used locally and perhaps exported regionally in the Roman period	Hayward 1999
Kef Ben Salah	36.299965	5.700152	4 km south-west ofCuicul	Algeria	MauretaniaCaesariensis	Limestone, used locally in the Roman period	Dessandier et al. 2012
Kentli Çiftliği	38.044730	27.455280	15 km north-east ofEphesos	Turkey	Asia	White marble, used locally in theRoman period	Prochaska and Grillo 2009; Yavuz, Bruno and Attanasio 2011
Kestanecik	37.420370	28.321601	23 km north of Muğla	Turkey	Asia	White and purple marble (Milas lilac) similar to pavonazzetto, perhaps exported regionally or inter-regionally in the Roman period	Bruno et al. 2012
Khalde	33.788373	35.480249	Just south of Beirut(Berytus)	Lebanon	Syria	Sandstone; used locally in the RomanImperial period	Badawi 2002
Kharga Oasis	25.483610	30.550830	Western Desert	Egypt	Aegyptus	Sandstone; used locally from the Pharaonic period, possibly for the Roman temple at Qasr Dush	Klemm and Klemm 2008: 328-330
Kinidaros	37.100556	25.477778	Central Naxos	Greece	Achaia	White-grey marble, used locally and exported throughout antiquity	Attanasio 2003: 184
Kionia	35.129763	25.724213	Eastern Crete	Greece	Creta etCyrene	Pinkish marble, used locally throughout antiquity	Paton and Schneider 1999: 292; Durkin and Lister 1983
Kirtaş/Selvioğlu	38.717986	29.304851	Near ancient Temenothyrai, north- west of Uşak, Phrygia	Turkey	Asia	Marble; used locally in the RomanImperial period and possibly earlier	Pralong 1980: 260-262; Asgari 1981
Kızıl Cağıl	37.696122	28.760019	5 km south ofAphrodisias	Turkey	Asia	White marble, used locally in theRoman period	Long 2012
Koepfel	48.741881	7.362128	Near Saverne	France	GermaniaSuperior	Sandstone; used locally in the RomanImperial period	Bedon 1984: pl. 12
Koprisses	38.782559	24.642248	Southern Skyros	Greece	Achaia	Purple, yellow and white breccia (marmor scyrium, settebassi or breccia di sciro), exported inter-regionally in the Roman period	Bruno 2002c
Korbevac	42.584507	22.018447	Southern Serbia, nearVranje	Serbia	MoesiaSuperior	Marble; used locally in the RomanImperial period	TIR Naissus 73
Koulouri	38.871635	24.438227	Just off western Skyros	Greece	Achaia	Purple, yellow and white breccia (marmor scyrium, settebassi or breccia di sciro), exported inter-regionally in the Roman period	Bruno 2002c
Kourelos	36.721851	22.374832	On the Mani Peninsula	Greece	Achaia	Grey-black marble (cipollino tenario) with circular veins and streaks in grey- white; exported inter-regionally by the2nd century AD, particularly to Rome	Mielsch 1985: 57; Gnoli 1988: 192-193
Kourtzi	39.108611	26.553611	Eastern Lesbos	Greece	Asia	Grey marble; used locally from at least the Classical period, primarily at Mytilene	Millar and Williams 1993: 211-220; Pensabene 1998a, 175-184; Lazzarini, Pensabene and Turi 1999: 125-126
Kraig	46.812154	14.368106	Just north of Klagenfurt	Austria	Noricum	Limestone; used locally in the RomanImperial period	Dworakowska 1983: 19
Kretz	50.394211	7.362051	In the Pallenz	Germany	GermaniaSuperior	Tuff; used locally in the RomanImperial period	Bedon 1984: 48, 79; Schaaf 2000
Kriemhildenstuhl	49.471952	8.178396	Near Bad Dürkheim, south-east of Worms	Germany	GermaniaSuperior	Sandstone; used locally in the RomanImperial period	Dworakowska 1983: 17; Bedon 1984:pl. 13; Lukas 2002
Krokeai	36.885000	22.548333	Southern Lakonia	Greece	Achaia	Dark green serpentine (porfido verde di Grecia or serpentino) flecked with bright green crystals, and a variety of lighter green pavonazzetto; used from the Mycenean period but only exported inter-regionally in the Roman Imperial period	Gnoli 1988: 141-142; Mielsch 1985:66; Le Roy 1961; Chrismes 1952: 73; Zezza and Lazzarini 2002
Kruft	50.385982	7.337770	So-called Idylle quarry in the Pallenz	Germany	GermaniaSuperior	Tuff; used locally in the RomanImperial period	Lehner 1921: 131; J. Röder 1957:228; Bedon 1984: 73, 90-97
Ksour Essaf	35.416190	10.991300	5 km north-west ofSalakta	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Younès, Gaied and Gallala 2012
Küçükkaya	38.331355	26.896372	15 km north-east of Teos	Turkey	Asia	Black, red, and white breccia (africano), perhaps exported inter- regionally	Bruno et al. 2012
Kurkar	32.500534	34.893166	Near Caesarea Maritima	Israel	Judaea	Limestone; quarried somewhere in this area and used locally in the Roman Imperial period, notably at nearby Caesarea Maritima	Sumaka'I Fink 2000
Kuş-ini Tepe	37.990278	27.423611	Just north of Ephesos and south of Belevi	Turkey	Asia	White marble; used locally from at least the Classical period	Atalay 1976; Atalay 1976-1977: 59-60; Waelkens 1992: 26; Prochaska and Grillo 2009; Yavuz, Bruno and Attanasio 2011
Kuttolsheim	48.643522	7.524838	North-west of Strasbourg	France	GermaniaSuperior	Limestone; used locally in the RomanImperial period.	Bedon 1984: 44
Kylindroi	38.050000	24.465833	Inland from Karystos onEuboea	Greece	Achaia	Green-grey and white streaked marble (cipollino); used locally from the Classical period but only exported widely in the Roman Imperial	Mielsch 1985: 58; Gnoli 1988: 181-183; Lambraki 1980: 31-62; Hankey1965; Pensabene 1998b; Sutherland and Sutherland 2002; Tsoflias 1982
Kyparissos	36.461111	22.439167	On the Mani Peninsula	Greece	Achaia	Dark-grey, black limestone; used locally and exported, whether regionally or inter-regionally is unclear, in the Roman Imperial period	Bruno and Pallante 2002
L’Estel	43.957326	4.545045	Near the Pont du Gard	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bessac and Vacca-Goutoulli 2002
La Bouteillère	43.491116	6.755511	North of Fréjus	France	Narbonensis	Granite (?); used locally in the Roman period	Bedon 1984: 34
La Celle	46.769029	2.442901	South of Bourges	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 60, 89
La Croix- Guillaume	48.610435	7.065520	Just north of Saint- Quirin	France	GermaniaSuperior	Sandstone; used locally in the RomanImperial period	Bedon 1984: 44; Heckenbenner andMeyer 2002; Lukas 2002
La Croix-Rouse	45.777210	4.804136	North of Lyon	France	Lugdunensis	Granite; used locally in the RomanImperial period	Bedon 1984: pl. 6
La Crouzade	43.947450	4.535224	Near the Pont du Gard	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 32
La Lie	46.357793	4.736570	Near Mâcon	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Cognot 2002
La Lloera	41.282679	1.136828	Just north-west ofAlcover	Spain	Tarraconensis	Limestone (pedra d’Alcover), used locally in the Roman period	Gutiérrez 2009: 223–6
La Palmira	37.688424	-5.716432	2.5 km south-east ofMunigua	Spain	Baetica	Granite, used locally and perhaps exported regionally in the Roman period	Schattner and Ovejero 2008
La Queyrie	44.754482	5.375714	North-east of Die	France	Narbonensis	Marble; used locally in the RomanImperial period	Bedon 1984: 57; Blanc 1986
La Raisse	46.864528	6.749413	Near La Lance on the lake of Neuchâtel	Switzerland	GermaniaSuperior	Yellow sandstone; used locally in the Roman Imperial period, primarily at Eburodunum (Yverdon) and Aventicum (Avenches)	Dworakowska 1983: 19; Staehelin1948: 425
La Raposera	39.083509	-6.293847	18 km north of Mérida	Spain	Lusitania	Grey granite, used locally and perhaps exported regionally in the Roman period	Pizzo 2010
La Rierussa	41.459772	1.849318	30 km west of Barcelona	Spain	Tarraconensis	Limestone, used locally in the Roman period	Gutiérrez 2009
La Roche l'Abeille	45.596944	1.240000	South of Limoges	France	Aquitania	Serpentine; used locally in the RomanImperial period	Bedon 1984: 62
La Roche-Taillée	47.592538	3.750291	Near Arcy-sur-Cure	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 78
La Romana	38.366263	-0.896187	Inland from Alicante	Spain	Tarraconensis	Grey limestone; used locally in theRoman Imperial period	Cisneros Cunchillos 1988
La Turbie	43.747222	7.395000	Between Nice andMonaco	France	AlpesMaritimae	Limestone; used locally in the Roman Imperial period, primarily for the nearby Trophée des Alpes	Dworakowska 1983: 16; Formigé1949: 77; Mazeran 1999
La-Pène-Saint- Martin	42.911676	0.695949	On the right bank of the Garonne, opposite Saint- Béat	France	Aquitania	A yellow breccia (brêche des Romains) with grey streaks and rose patches; exported regionally in the Roman Imperial period, particularly from the Trajanic period	Bedon 1984: 64; Lazzarini andSangati 2004: 76-77; Blanc and Blanc2012
Lady Down	51.093611	-1.805000	Near Old Sarum, Wiltshire	Britain	Britannia	Limestone; used locally in the RomanImperial period	Pearson 2006
Laghia- Dimaristika	36.478056	22.471111	On the Mani Peninsula	Greece	Achaia	Dark brown-red marble (rosso antico), in various shades, with occasional light grey veins; exported inter-regionally by at least the early Roman period	Gnoli 1988: 187-191; Mielsch 1985:59
Lago Maggiore	45.968056	8.653889	North of Milan	Italy	Italia XI	Granite; used locally and possibly exported regionally in the Roman period	Braemer 1992
Latomi	38.384987	26.135160	Eastern Chios	Greece	Asia	Pink-red recrystallised limestone (marmor chium or portasanta) breccia with large angular crystals of white, grey and red, and bands of white and pink; found in Rome from the Augustan period onwards and inparticular in the Trajanic and Hadrianicperiods	Gnoli 1988: 172-173; Mielsch 1985:55-56; Dworakowska 1975; Ballance1966: 79; Hunt 1940-1945
Lavadra	43.938661	15.164293	In the Zadar islands	Croatia	Dalmatia	Limestone; used locally in the RomanImperial period	Škegro 2006: 161-162
Lavagna	44.308611	9.342778	South-western Liguria	Italy	Italia IX	Schist (ardesia); used locally in the Roman Imperial period and exported regionally	Bruno 2002b
Lavera	43.388743	5.029072	30 km north-west ofMarseille	France	Narbonensis	Limestone, used locally and exported regionally, notably to Marseille	Tréziny 2009
Layana	42.297474	-1.249086	Near Uncastillo, Zaragoza province	Spain	Tarraconensis	Sandstone; used locally in the RomanImperial period	Cisneros Cunchillos 1988: 62
Le Moulin-de- Champagne	48.683491	7.334625	North ofReinhardmünster	France	GermaniaSuperior	Sandstone; used locally in the RomanImperial period	Bedon 1984: 44, 96
Le Poujol-sur- Orb	43.580000	3.059722	North-west of Béziers	France	Narbonensis	Sandstone; used locally in the RomanImperial period	Bedon 1984: 33
Lepoura	38.403056	24.091667	Just east of Aliveri onEuboea	Greece	Achaia	Two varieties of limestone, one white- grey and one a variety of fior di pesco; the latter exported inter-regionally in the Roman Imperial period or later	Russell and Fachard 2012
Les Averdines	47.160833	2.679167	East of Bourges	France	Aquitania / Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 15-17, 61
Les Brégines	43.442318	3.212108	Near Béziers	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 25, 33
Les Escaunes	43.914722	4.551111	North-east of Nîmes	France	Narbonensis	Sandstone; used locally in the RomanImperial period	Bedon 1984: 31, 84
Les Fouilletires	47.465232	3.256687	Just north of Entrains- sur-Nohain	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 74, pl. 17
Les Petits Caous	43.431111	6.803333	Just north of Boulouris	France	Narbonensis	Light blue-grey porphyry (porfido bigio or granito a morviglione) with white, pink, grey and blue flecks; used locally from Archaic period; exported further sporadically and then only to Rome	Mielsch 1985: 66; Gnoli 1988: 140-141; Bedon 1984; Mazeran 2004
Lespignan	43.272500	3.173611	South of Béziers	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 33
Levanto	44.170556	9.613056	Southern Liguria	Italy	Italia IX	Dark brown breccia marble (breccia quintilina) with shades of black and swirling white veins; used locally and exported regionally in the Roman Imperial period	Mielsch 1985: 53; Gnoli 1988: 260; Lazzarini and Sangati 2004: 76-77
Lez	42.909167	0.700833	South-east of Saint-Béat	France	Aquitania	White marble; used locally in the Roman period and probably exported regionally	Bedon 1984: 65-66
Lindos	36.090278	28.086667	South-East Rhodes	Greece	Asia	Marble; used locally in the Roman period and earlier	Higgins and Higgins 1996
Locuon	48.150808	3.303469	Western Brittany	France	Lugdunensis	Granite; used locally and possibly exported regionally in the Roman period	Maligorne et al. 2002
Longwy	49.513632	5.768150	Near Arlon	France	Belgica	Limestone; used locally in the RomanImperial period	Bedon 1984: 51
Los Castillejos	36.982682	-4.912673	Near Teba, 30 km west of Antequera	Spain	Baetica	Pink-white limestone, used locally and exported regionally in the Roman period	Beltrán et al. 2014
Lubrín	37.215556	-2.066667	Near Macael	Spain	Tarraconensis	White marble; used locally in the Roman period and probably exported regionally	Cisneros Cunchillos 1988
Lunghezza	41.923056	12.671944	Along the Aniene nearSalone	Italy	Italia I	Tuff (tufo lionato or tufo dell'Aniene); used locally from the Republican period, primarily at Rome	Jackson and Marra 2006
Lunzen	48.179551	15.234431	South of Pöchlarn	Austria	Noricum	White marble; used locally in the Roman period and probably exported regionally	Djurić and Müller 2009
Luque	37.561616	-4.277326	East of Italica	Spain	Baetica	Limestone; used locally in the RomanImperial period	Canto 1977-1978
Lyon/Yzeron	45.767090	4.833885	Just south of Lyon	France	Lugdunensis	Schist; used locally from the middle of the 1st century BC at nearby Lyon	Bedon 1984: 27-28
Macael	37.332222	-2.304722	Almería province	Spain	Tarraconensis	A pure white calcitic marble (blanco Macael), and possibly a limestone similar to cipollino (anasol); the former exported across southern Spain in the Roman Imperial period	Canto 1977-1978: 172; Lapuente andBlanc 2002; Àlvarez et al. 2009a: 80–5
Mackwiller	48.921016	7.175817	North-west of Saverne	France	GermaniaSuperior	Sandstone; used locally in the RomanImperial period	Bedon 1984: 44-45
Madonna d’AltoMare	40.295363	17.531263	20 km south-east ofTaranto	Italy	Italia II	Limestone, used locally in the Roman period	Calia et al. 2002
Mahdia	35.503056	11.066111	Just outside Mahdia	Tunisia	AfricaProconsularis	Sandstone; used locally from the Punic period	Paskoff and Trousset 2004: 151-152
Maidstone	51.270556	0.523611	North-west Kent	Britain	Britannia	Limestone (Kentish ragstone); used locally in the Roman Imperial period and exported regionally, mainly to London	Blagg 1990
Malakoff	36.097484	1.240533	South-west of modernChlef	Algeria	MauretaniaCaesariensis	Limestone; used locally in the RomanImperial period	Gsell 1911: 12.171
Malko Turnavo	41.979640	27.522708	Central Bulgaria	Bulgaria	Thracia	Limestone; used locally in the RomanImperial period	Braemer 1986
Mandilou	37.930278	24.525000	On the islet of Mandilou in the straits between Euboea and Andros	Greece	Achaia	Sandstone; used locally in the RomanImperial period	Chidiroglou 2009
Mannersdorf	47.974463	16.602554	31 km south of Vienna, Austria	Austria	PannoniaSuperior	Limestone, used locally in the Roman period	Pivko 2012
Marathi	37.082500	25.200278	South-west of Marathi, central Paros	Greece	Achaia	White marble (lychnites, marmor parium, paria lithos or Paros-1) with medium crystalline grains and translucent finish when polished; widely exported in Roman period and earlier	Gnoli 1988: 261-262;  Mielsch 1985:61; Dworakowska 1975; Renfrew and Springer Peacy 1968; Herz 2000; Korres 2000
Margaritis	38.552108	26.120164	North-east Chios	Greece	Asia	Black marble (nero antico chiota); used locally in Roman Imperial period and probably exported	Lazzarini and Sangati 2004: 76-77; Pensabene and Lazzarini 1998; Lazzarini 2007: 151-159
Marignac	42.913889	0.659722	South of Saint-Béat	France	Aquitania	White marble; used locally in the Roman period and probably exported regionally	Bedon 1984: 65
MarítimaResidencial	41.161404	1.431387	18 km east of Tarragona	Spain	Tarraconensis	Limestone; used locally in the RomanImperial period	Gutiérrez 2009: 127–30
Marmara Adası	40.650833	27.656944	On the north side of the island, ancient Prokonnesos	Turkey	Asia	Several varieties of medium-grained white marble (marmo di Proconneso), one with faint light blue bands; used locally from Archaic period and widely exported from the 2nd century AD	Gnoli 1988: 263-264;  Mielsch 1985:60-61; Dworakowska 1983; Walker1984; Pensabene 1978 and 1981; Ward-Perkins 1980a; Monna and Pensabene 1977: 145-174; Hasluck1909; Asgari 1979; Asgari 1989; Asgari 1990; Asgari 1992; Attanasio2003: 194-199
Marmaro	36.426715	22.477300	On the Mani Peninsula	Greece	Achaia	Dark brown-red marble (rosso antico), in various shades, with occasional light grey veins; exported inter-regionally by at least the early Roman period	Gorgoni et al. 1992; Gorgoni, Lazzarini and Pallente 2002
Marmaromandra	40.765187	24.689206	Just south-west ofLimenas, Thasos	Greece	Macedonia	White-grey marble, used locally throughout antiquity	Wurch-Koželj and Koželj 2009
Marquise	50.812042	1.703805	Quarries located nearCalais	France	Belgica	Grey-white limestone; used locally in the Roman Imperial period and probably exported regionally, perhaps to Britain	Bedon 1984: 51, 70; Blagg 1990
Marsa Douiba	37.256054	9.445740	Just east of Cap Serrat	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 212-4
Marseille	43.299444	5.383056	Southern Provence	France	Narbonensis	Limestone; used locally from theArchaic period	Bedon 1984: 24, 59; Tréziny 2009
Martorell	41.473597	1.927487	Near Barcelona	Spain	Tarraconensis	Sandstone; used locally in the RomanImperial period	Cisneros Cunchillos 1988; Gutiérrez2009: 253
